Airline_Name
"Alaska Airlines Inc.: AS"
"SkyWest Airlines Inc.: OO"
"Republic Airline: YX"
"Allegiant Air: G4"
"Delta Air Lines Inc.: DL"
"Spirit Air Lines: NK"
"JetBlue Airways: B6"
"ExpressJet Airlines LLC: EV"
"United Air Lines Inc.: UA"
"American Airlines Inc.: AA"
"Frontier Airlines Inc.: F9"
"PSA Airlines Inc.: OH"
"Endeavor Air Inc.: 9E"
"Hawaiian Airlines Inc.: HA"
"Envoy Air: MQ"
"Mesa Airlines Inc.: YV"
"Southwest Airlines Co.: WN"
